number,value,datetime_start,datetime_complete,duration,params_C,params_bootstrap,params_classifier,params_criterion,params_learning_rate,params_max_depth,params_max_features,params_max_iter,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_penalty,params_replacement,params_solver,state
29,0.8623004304004395,2026-04-20 13:55:15.473847,2026-04-20 13:55:21.541452,0 days 00:00:06.067605,,,xgb,,0.010411901594367013,7.0,,,,,262.0,,,,COMPLETE
30,0.8640035128832843,2026-04-20 13:55:21.543317,2026-04-20 13:55:40.012113,0 days 00:00:18.468796,,True,BalancedRandomForestClassifier,entropy,,10.0,log2,,7.0,3.0,199.0,,True,,COMPLETE
31,0.864675854565237,2026-04-20 13:55:40.013891,2026-04-20 13:56:08.780984,0 days 00:00:28.767093,,True,BalancedRandomForestClassifier,entropy,,15.0,log2,,9.0,2.0,298.0,,True,,COMPLETE
32,0.8645641776242919,2026-04-20 13:56:08.782223,2026-04-20 13:56:33.763293,0 days 00:00:24.981070,,True,BalancedRandomForestClassifier,entropy,,15.0,log2,,9.0,2.0,267.0,,True,,COMPLETE
33,0.8644655066878296,2026-04-20 13:56:33.766116,2026-04-20 13:56:59.633758,0 days 00:00:25.867642,,True,BalancedRandomForestClassifier,entropy,,17.0,log2,,9.0,2.0,275.0,,True,,COMPLETE
34,0.8645775788572054,2026-04-20 13:56:59.635205,2026-04-20 13:57:25.906637,0 days 00:00:26.271432,,True,BalancedRandomForestClassifier,entropy,,15.0,log2,,9.0,2.0,271.0,,True,,COMPLETE
35,0.864416159595233,2026-04-20 13:57:25.907700,2026-04-20 13:57:54.968416,0 days 00:00:29.060716,,True,BalancedRandomForestClassifier,entropy,,18.0,log2,,9.0,3.0,299.0,,True,,COMPLETE
36,0.8643849514948435,2026-04-20 13:57:54.969852,2026-04-20 13:58:20.059362,0 days 00:00:25.089510,,True,BalancedRandomForestClassifier,entropy,,13.0,log2,,7.0,4.0,242.0,,False,,COMPLETE
37,0.8514577884411958,2026-04-20 13:58:20.060571,2026-04-20 13:58:21.666394,0 days 00:00:01.605823,0.013159389624865906,,LogisticRegression,,,,,108.0,,,,l2,,saga,COMPLETE
38,0.8628666897825479,2026-04-20 13:58:21.667395,2026-04-20 13:59:17.308627,0 days 00:00:55.641232,,True,BalancedRandomForestClassifier,entropy,,15.0,,,8.0,2.0,274.0,,True,,COMPLETE
39,0.8634378264163377,2026-04-20 13:59:17.309881,2026-04-20 13:59:37.032080,0 days 00:00:19.722199,,False,BalancedRandomForestClassifier,gini,,18.0,sqrt,,9.0,10.0,164.0,,True,,COMPLETE
40,0.8512584504986355,2026-04-20 13:59:37.033291,2026-04-20 13:59:38.619190,0 days 00:00:01.585899,0.14892197456636666,,LogisticRegression,,,,,470.0,,,,l1,,saga,COMPLETE
41,0.8645776718521301,2026-04-20 13:59:38.620203,2026-04-20 14:00:04.811682,0 days 00:00:26.191479,,True,BalancedRandomForestClassifier,entropy,,15.0,log2,,9.0,2.0,272.0,,True,,COMPLETE
42,0.864679488009799,2026-04-20 14:00:04.812812,2026-04-20 14:00:33.545556,0 days 00:00:28.732744,,True,BalancedRandomForestClassifier,entropy,,15.0,log2,,9.0,2.0,300.0,,True,,COMPLETE
43,0.8646843204246414,2026-04-20 14:00:33.546702,2026-04-20 14:01:02.338180,0 days 00:00:28.791478,,True,BalancedRandomForestClassifier,entropy,,15.0,log2,,9.0,2.0,299.0,,True,,COMPLETE
44,0.8642371244375052,2026-04-20 14:01:02.339244,2026-04-20 14:01:31.379752,0 days 00:00:29.040508,,True,BalancedRandomForestClassifier,entropy,,17.0,log2,,8.0,2.0,299.0,,True,,COMPLETE
45,0.8636606339530449,2026-04-20 14:01:31.380897,2026-04-20 14:01:39.744318,0 days 00:00:08.363421,,True,BalancedRandomForestClassifier,entropy,,13.0,log2,,9.0,3.0,89.0,,True,,COMPLETE
46,0.8512411833338481,2026-04-20 14:01:39.746913,2026-04-20 14:01:41.988596,0 days 00:00:02.241683,1.1765957685551431,,LogisticRegression,,,,,119.0,,,,l1,,saga,COMPLETE
47,0.8613487601949837,2026-04-20 14:01:41.989538,2026-04-20 14:02:52.347656,0 days 00:01:10.358118,,False,BalancedRandomForestClassifier,gini,,17.0,,,10.0,2.0,286.0,,True,,COMPLETE
48,0.8331242325842924,2026-04-20 14:02:52.348865,2026-04-20 14:03:08.525035,0 days 00:00:16.176170,,,xgb,,0.06448529487640965,15.0,,,,,283.0,,,,COMPLETE
49,0.8638233551439645,2026-04-20 14:03:08.528698,2026-04-20 14:03:37.554704,0 days 00:00:29.026006,,False,BalancedRandomForestClassifier,gini,,18.0,log2,,9.0,4.0,253.0,,True,,COMPLETE
50,0.8637182658970671,2026-04-20 14:03:37.555726,2026-04-20 14:04:08.437742,0 days 00:00:30.882016,,True,BalancedRandomForestClassifier,entropy,,14.0,log2,,1.0,8.0,299.0,,True,,COMPLETE
51,0.8645100944330247,2026-04-20 14:04:08.438853,2026-04-20 14:04:35.255784,0 days 00:00:26.816931,,True,BalancedRandomForestClassifier,entropy,,15.0,log2,,10.0,2.0,275.0,,True,,COMPLETE
52,0.8645167419095245,2026-04-20 14:04:35.256894,2026-04-20 14:05:03.869142,0 days 00:00:28.612248,,True,BalancedRandomForestClassifier,entropy,,16.0,log2,,9.0,2.0,287.0,,True,,COMPLETE
